,,,Alunos,Matricula,CPF,Curso,Campus,Turno,Mensalidade,Ano,Situação,Status,GENERO,IDADE
",,,Fernando Brito,1610,546463-67,Administração,Brotas,Manhã,""  1.600,00 "",2014,Não Pago,1,M,24"
",,,Sandro Almeida,2835,767685-98,Letras,Cabula,Manhã,""  1.400,00 "",2014,Não Pago,1,M,21"
",,,Fátima Bernardes,2785,978786-90,Marketing,Cabula,Manhã,""  1.400,00 "",2014,Não Pago,2,F,32"
",,,William Bonner,2877,657464-78,Nutrição,Brotas,Manhã,""  1.370,00 "",2014,Pago,1,M,27"
",,,Edson arantes,1848,763635-98,Veterinária,Brotas,Noite,""  1.250,00 "",2014,Pago,1,M,20"
",,,Carlos Bastos,1750,635342-09,Gastronomia,Brotas,Noite,""  1.470,00 "",2014,Pago,1,M,34"
",,,Samara Firmino,1738,635353-87,Filosofia,Cabula,Manhã,""  1.876,00 "",2014,Pago,1,F,27"
",,,Renato Aragão,2035,726265-76,Engenharia Civil,Brotas,Noite,""  1.900,00 "",2014,Não Pago,1,M,34"
",,,Flávio camargo,2291,989889-90,Medicina,Cabula,Manhã,""  1.400,00 "",2014,Pago,1,M,32"
",,,Luis Augusto,1889,878798-90,Direito,Cabula,Noite,""  1.600,00 "",2014,Não Pago,2,M,43"
",,,Gilberto Barra,2393,989787-89,Estatística,Brotas,Noite,""  2.000,00 "",2014,Pago,1,M,25"
",,,Carlos Emerito,2562,979878-90,Informática,Brotas,Manhã,""  1.300,00 "",2014,Pago,1,M,43"
",,,Serena Will,1345,546463-67,Administração,Brotas,Manhã,""  1.600,00 "",2014,Pago,1,F,18"
",,,Will Smirfi,1916,767685-98,Letras,Cabula,Manhã,""  1.400,00 "",2014,Não Pago,1,M,44"
",,,Damião de jesus,2169,978786-90,Marketing,Cabula,Manhã,""  1.400,00 "",2014,Não Pago,1,M,21"
",,,Carmen Lúcia,1949,657464-78,Nutrição,Brotas,Manhã,""  1.370,00 "",2014,Não Pago,1,F,40"
",,,Jorge Abravana,1255,763635-98,Veterinária,Brotas,Noite,""  1.250,00 "",2014,Pago,1,M,27"
",,,Gina Devia,1339,635342-09,Gastronomia,Brotas,Noite,""  1.470,00 "",2014,Pago,1,F,43"
",,,Gertrusde góis,2594,635353-87,Filosofia,Cabula,Manhã,""  1.876,00 "",2014,Não Pago,1,F,34"
",,,Diego Santos,2192,726265-76,Engenharia Civil,Brotas,Noite,""  1.900,00 "",2014,Pago,1,M,35"
",,,Vinicius Rafaioli,1669,989889-90,Medicina,Cabula,Manhã,""  1.400,00 "",2014,Pago,1,M,37"
",,,Juracy Uzeda,2472,878798-90,Direito,Cabula,Noite,""  1.600,00 "",2014,Não Pago,2,M,40"
",,,Carlos Ká,1912,989787-89,Estatística,Brotas,Noite,""  2.000,00 "",2014,Pago,1,M,29"
",,,Bartolomeu Silva,2206,979878-90,Informática,Brotas,Manhã,""  1.300,00 "",2014,Não Pago,2,M,27"
",,,Carmen Betânia,1285,546463-67,Administração,Brotas,Manhã,""  1.600,00 "",2014,Não Pago,2,F,37"
",,,Almir Fernandes,2387,767685-98,Letras,Cabula,Manhã,""  1.400,00 "",2014,Não Pago,1,M,40"
",,,Jaime Gasma,2791,978786-90,Marketing,Cabula,Manhã,""  1.400,00 "",2014,Não Pago,2,M,38"
",,,Carlos Aplauso,1902,657464-78,Nutrição,Brotas,Manhã,""  1.370,00 "",2014,Pago,1,M,44"
",,,Angela Maria,2222,763635-98,Veterinária,Brotas,Noite,""  1.250,00 "",2014,Pago,2,F,31"
",,,Maria Zélia,1719,635342-09,Gastronomia,Brotas,Noite,""  1.470,00 "",2014,Pago,1,F,21"
",,,Aderaldo Francisco,1698,635353-87,Filosofia,Cabula,Manhã,""  1.876,00 "",2014,Pago,1,M,23"
",,,Gilnário Fromm,2710,726265-76,Engenharia Civil,Brotas,Noite,""  1.900,00 "",2014,Pago,2,M,35"
",,,Fernando Pessoas,2258,989889-90,Medicina,Cabula,Manhã,""  1.400,00 "",2014,Pago,2,M,37"
",,,Alisson Luis,1374,878798-90,Direito,Cabula,Noite,""  1.600,00 "",2014,Não Pago,1,M,21"
",,,Gil de Melania,2004,989787-89,Estatística,Brotas,Noite,""  2.000,00 "",2014,Pago,1,F,28"
",,,Bert Simpgon,1255,979878-90,Informática,Brotas,Manhã,""  1.300,00 "",2014,Pago,2,F,29"
",,,Carlos Champion,1788,546463-67,Administração,Brotas,Manhã,""  1.600,00 "",2014,Pago,1,M,36"
",,,Denise Freitas,2716,767685-98,Letras,Cabula,Manhã,""  1.400,00 "",2014,Não Pago,1,F,37"
",,,Marcos Fross,1430,978786-90,Marketing,Cabula,Manhã,""  1.400,00 "",2014,Não Pago,1,M,33"
",,,Jilson Lago,2346,657464-78,Nutrição,Brotas,Manhã,""  1.370,00 "",2014,Não Pago,1,M,19"
",,,Amauri Filho,1777,763635-98,Veterinária,Brotas,Noite,""  1.250,00 "",2014,Pago,1,M,21"
",,,Eduardo Oliveira,2386,635342-09,Gastronomia,Brotas,Noite,""  1.470,00 "",2014,Pago,1,M,43"
",,,Gileno Diniz,2248,635353-87,Filosofia,Cabula,Manhã,""  1.876,00 "",2014,Pago,2,M,30"
",,,Roque Rais,2696,726265-76,Engenharia Civil,Brotas,Noite,""  1.900,00 "",2014,Pago,2,M,28"
",,,Fernado Fernandes,1704,989889-90,Medicina,Cabula,Manhã,""  1.400,00 "",2014,Pago,2,M,23"
",,,Hilton Gomes,2262,878798-90,Direito,Cabula,Noite,""  1.600,00 "",2014,Não Pago,1,M,33"
",,,Diego Telles,1554,989787-89,Estatística,Brotas,Noite,""  2.000,00 "",2014,Pago,2,M,40"
",,,Bianca Rinalda,2386,979878-90,Informática,Brotas,Manhã,""  1.300,00 "",2014,Pago,1,F,32"
",,,Angelica Guma,2264,546463-67,Administração,Brotas,Manhã,""  1.600,00 "",2014,Não Pago,1,F,35"
",,,Sandra Luisa,2291,767685-98,Letras,Cabula,Manhã,""  1.400,00 "",2014,Não Pago,2,F,23"
",,,Luisa Luiz,2318,978786-90,Marketing,Cabula,Manhã,""  1.400,00 "",2014,Não Pago,2,F,22"
",,,Wibergano Freitas,1797,657464-78,Nutrição,Brotas,Manhã,""  1.370,00 "",2014,Pago,2,M,36"
",,,Raul Gazol,2659,763635-98,Veterinária,Brotas,Noite,""  1.250,00 "",2014,Pago,2,M,40"
",,,Cátia Amauri,2593,635342-09,Gastronomia,Brotas,Noite,""  1.470,00 "",2014,Pago,1,F,23"
",,,Lucas Magalhães,2860,635353-87,Filosofia,Cabula,Manhã,""  1.876,00 "",2014,Pago,2,M,40"
",,,Demilson Demmi,2568,726265-76,Engenharia Civil,Brotas,Noite,""  1.900,00 "",2014,Não Pago,1,M,29"
",,,Fabiano jesus,1460,989889-90,Medicina,Cabula,Manhã,""  1.400,00 "",2014,Pago,1,M,43"
",,,Jermane trig,2332,878798-90,Direito,Cabula,Noite,""  1.600,00 "",2014,Não Pago,2,M,18"
",,,Michael Jablon,1650,989787-89,Estatística,Brotas,Noite,""  2.000,00 "",2014,Pago,2,M,19"
",,,João Jonases,1427,979878-90,Informática,Brotas,Manhã,""  1.300,00 "",2014,Pago,1,M,29"
",,,jonas Firmo,1357,546463-67,Administração,Brotas,Manhã,""  1.600,00 "",2014,Pago,1,M,35"
",,,Girlei Gomes,2076,767685-98,Letras,Cabula,Manhã,""  1.400,00 "",2014,Não Pago,2,M,32"
",,,Hiton Frod,1761,978786-90,Marketing,Cabula,Manhã,""  1.400,00 "",2014,Não Pago,1,M,29"
",,,Gerusa Cavalcanti,1740,657464-78,Nutrição,Brotas,Manhã,""  1.370,00 "",2014,Não Pago,2,F,20"
",,,Carlos Borges,2278,763635-98,Veterinária,Brotas,Noite,""  1.250,00 "",2014,Pago,1,M,33"
",,,Amélia Lima,1775,635342-09,Gastronomia,Brotas,Noite,""  1.470,00 "",2014,Pago,2,F,21"
",,,Gustavo Firma,1425,635353-87,Filosofia,Cabula,Manhã,""  1.876,00 "",2014,Não Pago,1,M,33"
",,,Fabiana Melancia,1859,726265-76,Engenharia Civil,Brotas,Noite,""  1.900,00 "",2014,Pago,2,F,26"
",,,Jurandir Amaras,1813,989889-90,Medicina,Cabula,Manhã,""  1.400,00 "",2014,Não Pago,1,M,38"
",,,Kiko Zambiencho,1666,878798-90,Direito,Cabula,Noite,""  1.600,00 "",2014,Não Pago,2,M,20"
",,,Camila Pitangui,1900,989787-89,Estatística,Brotas,Noite,""  2.000,00 "",2014,Pago,1,F,28"
",,,Apolinário Gomes,1945,979878-90,Informática,Brotas,Manhã,""  1.300,00 "",2014,Não Pago,2,M,45"
",,,Tadeu Freitas,2462,546463-67,Administração,Brotas,Manhã,""  1.600,00 "",2014,Não Pago,2,M,22"
",,,Daniela Dimas,2786,767685-98,Letras,Cabula,Manhã,""  1.400,00 "",2014,Não Pago,1,F,29"
",,,Janete Cremm,2427,978786-90,Marketing,Cabula,Manhã,""  1.400,00 "",2014,Não Pago,2,F,40"
",,,Felicia Boarque,2227,657464-78,Nutrição,Brotas,Manhã,""  1.370,00 "",2014,Pago,2,F,41"
",,,Amarildo Dias,2100,763635-98,Veterinária,Brotas,Noite,""  1.250,00 "",2014,Não Pago,1,M,41"
",,,jailton Eltric,2526,635342-09,Gastronomia,Brotas,Noite,""  1.470,00 "",2014,Não Pago,1,M,29"
",,,Carlos Francisco,1539,635353-87,Filosofia,Cabula,Manhã,""  1.876,00 "",2014,Pago,2,M,22"
",,,Gilmar Oliveira,2214,726265-76,Engenharia Civil,Brotas,Noite,""  1.900,00 "",2014,Pago,2,M,23"
